CASEID,v728,v729,v730,v731,v732,v733,v734,v735,v736,v737,v738,v739,v740,v872,v873,v874,v875,v876,v877,v878,v879,v880,v881,v882,v883,v884,v885,v886,v887,v888,v889,v890,v891,v892,v893,v894,v895,v896,v897,v898,v899,v900,v901,v902,v903,v904
   1,5,0,0,3,4,1,5,2,1,3,5,4,3,1,5,1,2,2,1,0,2,0,1,7,0,12," ",0,0,0,0,0,0,0,0,1,0," "," "," ",0,0,0,1,1,292
   2,5,0,0,3,3,1,1,1,1,1,1,1,3,5,0,2,2,2,1,0,4,0,1,1,0, 7," ",0,0,0,0,0,1,0,0,0,0," "," "," ",0,0,0,5,5,280
   3,1,5,0,2,3,5,0,3,0,5,0,3,0,1,5,1,3,2,1,0,1,2,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
   4,5,0,0,3,5,1,1,1,3,1,1,1,3,1,1,4,5,2,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
   5,5,0,0,3,3,1,1,1,1,5,0,3,0,5,0,4,5,2,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,400
   6,1,1,0,1,4,1,1,1,3,1,1,1,3,1,5,2,4,2,1,0,3,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
   7,1,1,0,1,5,8,0,8,0,8,0,8,0,1,3,3,4,2,1,0,1,1,1,1,0, 3," ",0,0,1,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,220
   8,1,1,0,1,4,1,1,1,3,3,5,4,5,5,0,3,5,3,5,1,0,0,5,0,1, 2," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,110
   9,1,1,0,1,4,1,1,1,3,1,5,2,3,1,3,1,4,2,1,0,4,0,1,7,0, 1," ",2,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,121
  10,1,5,0,2,3,1,5,2,3,8,0,8,0,1,5,1,4,2,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,1,400
  11,1,1,0,1,4,1,1,1,5,5,0,3,0,1,1,4,5,2,1,0,4,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
  12,1,1,0,1,3,5,0,3,0,1,5,2,3,5,0,5,5,3,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
  13,1,1,0,1,5,1,1,1,1,3,5,4,5,1,5,1,3,1,1,0,2,0,1,8,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,0,998
  14,5,0,0,3,2,5,0,3,0,3,5,4,5,1,5,1,4,2,1,0,1,2,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,400
  15,5,0,0,3,3,1,1,1,3,3,1,5,3,1,1,2,4,2,1,0,3,0,1,1,0, 3," ",0,0,1,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,220
