CASEID,v731,v732,v872,v874
   1,3,4,1,1
   2,3,3,5,2
   3,2,3,1,1
   4,3,5,1,4
   5,3,3,5,4
   6,1,4,1,2
   7,1,5,1,3
   8,1,4,5,3
   9,1,4,1,1
  10,2,3,1,1
  11,1,4,1,4
  12,1,3,5,5
  13,1,5,1,1
  14,3,2,1,1
  15,3,3,1,2
  16,2,2,1,1
  17,1,5,1,2
  18,1,5,1,1
  19,1,5,1,1
  20,3,4,1,2
  21,3,2,5,5
  22,3,3,5,3
  23,1,4,1,1
  24,4,5,1,1
  25,1,5,1,1
  26,3,4,1,3
  27,1,5,5,5
  28,3,4,1,2
  29,1,4,5,5
  30,1,4,1,1
  31,3,4,5,1
  32,3,1,1,1
  33,1,5,1,2
  34,5,3,1,2
  35,3,4,1,2
  36,1,4,5,3
  37,2,4,1,4
  38,1,4,5,2
  39,3,4,1,2
  40,1,4,1,1
  41,3,3,1,4
  42,1,5,5,3
  43,3,4,1,5
  44,1,3,5,2
  45,1,5,1,1
  46,1,5,1,1
  47,2,2,5,5
  48,3,5,1,1
  49,1,5,1,1
  50,1,5,1,2
  51,1,4,1,3
  52,5,4,5,2
  53,5,2,1,1
  54,1,4,1,7
  55,5,1,1,9
  56,5,4,1,1
  57,2,4,1,3
  58,2,3,1,2
  59,3,4,1,2
  60,2,1,5,4
  61,1,4,1,4
  62,1,3,1,2
  63,3,4,1,2
  64,1,4,1,1
  65,3,3,1,2
  66,1,5,5,5
  67,2,4,1,3
  68,1,3,5,2
  69,3,4,1,1
  70,1,4,1,3
  71,2,3,1,1
  72,3,2,1,5
  73,2,3,1,2
  74,1,2,1,4
  75,3,4,1,1
  76,2,5,1,1
  77,1,3,1,1
  78,3,5,5,3
  79,3,3,1,4
  80,3,4,5,5
  81,1,3,1,2
  82,1,5,1,1
  83,1,4,1,3
  84,3,2,9,9
  85,1,3,1,1
  86,1,5,1,1
  87,2,3,1,3
  88,1,4,1,2
  89,4,5,1,1
  90,3,2,1,1
  91,3,3,5,5
  92,3,5,5,5
  93,2,3,1,4
  94,3,3,1,2
  95,1,4,1,4
  96,1,4,1,2
  97,3,4,1,1
  98,1,4,5,5
  99,1,4,1,4
 100,3,4,1,3
 101,2,3,1,2
 102,1,5,5,2
 103,1,5,1,1
 104,1,4,1,9
 105,1,4,1,1
 106,3,4,1,4
 107,1,4,1,5
 108,3,3,1,3
 109,1,4,5,5
 110,1,5,1,1
 111,3,2,5,3
 112,3,5,1,3
 113,3,4,5,5
 114,1,5,1,1
 115,1,5,5,4
 116,1,5,1,3
 117,3,2,1,1
 118,1,3,1,7
 119,1,3,1,1
 120,3,3,1,1
 121,1,5,5,2
 122,1,5,1,1
 123,1,4,5,5
 124,1,5,1,1
 125,1,4,1,3
 126,4,3,1,1
 127,1,4,1,3
 128,3,3,1,2
 129,3,5,1,3
 130,3,3,1,1
 131,1,3,1,3
 132,1,4,1,3
 133,1,4,1,2
 134,1,4,1,2
 135,2,2,1,4
 136,3,2,1,1
 137,1,4,1,4
 138,1,4,1,3
 139,2,4,1,4
 140,1,5,1,1
 141,3,3,1,1
 142,1,5,1,2
 143,3,2,5,5
 144,1,5,1,3
 145,3,3,1,4
 146,3,5,5,5
 147,1,5,1,4
 148,3,3,5,5
 149,1,5,5,4
 150,3,2,1,4
 151,1,2,1,1
 152,1,4,1,2
 153,3,5,5,5
 154,3,2,1,2
 155,1,8,1,1
 156,1,5,1,2
 157,1,4,1,3
 158,1,3,1,2
 159,3,2,1,1
 160,3,3,5,3
 161,3,5,5,5
 162,2,5,1,1
 163,1,3,5,4
 164,3,3,1,4
 165,1,5,5,4
 166,1,5,5,4
 167,1,4,1,1
 168,3,4,1,2
 169,2,2,1,4
 170,3,4,1,1
 171,1,5,1,1
 172,3,5,1,3
 173,1,5,5,4
 174,3,3,5,4
 175,1,3,5,5
 176,3,4,5,2
 177,2,3,1,3
 178,3,5,1,3
 179,3,4,1,2
 180,1,4,5,1
 181,1,5,1,4
 182,3,4,1,1
