CASEID,v728,v729,v730,v731,v732,v733,v734,v735,v736,v737,v738,v739,v740,v872,v873,v874,v875,v876,v877,v878,v879,v880,v881,v882,v883,v884,v885,v886,v887,v888,v889,v890,v891,v892,v893,v894,v895,v896,v897,v898,v899,v900,v901,v902,v903,v904,v905,v906,v907,v908,v909,v910,v911,v912,v913,v914,v915,v916,v917,v918,v919,v920,v921,v922,v922a,v923,v924,v925,v926,v927,v928,v929,v930,v931,v932,v933,v934,v934a,v935,v936,v937,v938,v939,v940,v941,v942,v943,v944,v945,v946,v946a,v947,v948,v949,v950,v951,v952,v953,v954,v955,v956,v957,v958,v959,v959a,v960,v961,v962,v963,v964,v965,v966,v967,v968,v968a,v969,v970,v971,v972,v973,v974,v975,v976,v977,v978,v979,v979a,v980,v981,v982,v983,v984,v985,v986,v987,v988,v989,v990,v991a,v991b,v991c,v992,v993,v994,v995,v996,v997,v998,v999,v1000,v1001,v1002,v1003,v1004,v1005,v1006a,v1006b,v1006c,v1007,v1008,v1009,v1010,v1010a,v1011,v1012,v1013,v1014,v1015,v1016,v1017,v1018,v1019,v1020a,v1020b,v1020c,v1021a,v1021b,v1021c,v1022,v1023,v1024,v1025,v1026a,v1026b,v1026c,v1026d,v1026e,v1026f,v1026g,v1026h,v1027,v1248,v1249,v1250,v1251,v1252a,v1252b,v1252c,v1475,v1476,v1477,v1482,v1482a,v1483,v1484,v1485,v1486,v1486a,v1487,v1488,v1530,v1531,v1532,v1533,v1534,v1535,v1536,v1537
   1,5,0,0,3,4,1,5,2,1,3,5,4,3,1,5,1,2,2,1,0,2,0,1,7,0,12," ",0,0,0,0,0,0,0,0,1,0," "," "," ",0,0,0,1,1,292, 5,0,1951,49,1,14,0, 7,5,12,1, 0,3,1,10,1,0, 0,0, 0,0,  0,0,0,0,996,0,0,96,   0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0,0, 0,0, 0,0,  0,0,0,996,0,0,17,0, 3,0,282,1,5, 40,5,5,5,1,17,0, 3,0,282,1,5, 40,5,0,0,0,5,0,0,0,5, 8, 8, 6,96, 6,1,5,0,0,0,1,1,1,50, 0, 0,1,35, 0,1, 1,35,5,0,133,3,0,0,0,3, 0, 41,41, 0, 16,16,1,1, 0,95,95,95,95,95,95,95,95,95, 80,1,3,5, 7, 8,0,0,1,5,1,5,9,0,0,0,9,5,0,5,1,5,1,5,2,3,8,3
   2,5,0,0,3,3,1,1,1,1,1,1,1,3,5,0,2,2,2,1,0,4,0,1,1,0, 7," ",0,0,0,0,0,1,0,0,0,0," "," "," ",0,0,0,5,5,280, 8,0,1965,35,1,13,0,96,4,12,1, 0,3,1,10,1,0, 0,0, 0,0,  0,0,0,0,996,0,0,96,   0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0,0, 0,0, 0,0,  0,0,0,996,0,0,16,0, 3,0,180,1,5, 55,1,5,5,5,16,0, 3,0,180,1,5, 55,5,0,0,0,5,0,0,0,5, 6, 6, 6,96, 6,5,0,5,0,0,1,5,1,50, 0, 0,1,18, 0,1, 1,18,5,0,123,0,7,0,5,8, 0, 12,12, 0,  7, 7,1,1, 3, 3, 2, 2, 1,95,95,95,95,95, 30,0,0,0, 0, 0,0,0,1,5,1,9,1,1,0,0,1,1,5,0,2,4,2,1,2,1,5,5
   3,1,5,0,2,3,5,0,3,0,5,0,3,0,1,5,1,3,2,1,0,1,2,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400, 4,0,1943,57,1,12,1, 0,3,12,1, 0,3,1,10,1,0, 0,0, 0,0,  0,0,0,0,996,0,0,96,   0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0,0, 0,0, 0,0,  0,0,0,996,0,0,20,0, 4,0,591,1,5, 40,5,5,1,1,20,0, 4,0,591,1,5, 40,5,0,0,0,5,0,0,0,5,99,99,99,96,99,5,0,1,1,1,0,0,4,50, 0, 0,1,48, 0,1, 1,48,5,0,121,0,7,0,1,6, 0, 20,20, 0, 20,20,1,1, 0,95,95,95,95,95,95,95,95,95, 20,1,1,1, 3, 8,0,0,1,5,1,9,5,0,0,1,3,3,3,0,2,5,1,3,2,1,5,1
   4,5,0,0,3,5,1,1,1,3,1,1,1,3,1,1,4,5,2,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0, 1,0,1937,63,3,14,0,96,4,99,0, 0,9,1,10,1,0, 0,0, 0,0,  0,0,0,0,996,0,0,96,   0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0,0, 0,0, 0,0,  0,0,0,996,0,0,62,0,11,0,161,1,5, 40,5,5,5,5,62,0,11,0,161,1,5, 40,5,0,0,0,1,1,0,0,1,96, 6,96, 6, 6,5,0,5,0,0,5,5,3,50, 0, 0,5,29, 0,1, 1,29,5,0,103,0,3,0,0,2, 0, 43,43, 0, 40,40,1,1, 0,95,95,95,95,95,95,95,95,95, 35,1,1,5, 9, 8,0,0,1,5,5,9,5,0,0,5,5,5,5,0,1,5,1,5,1,1,5,5
   5,5,0,0,3,3,1,1,1,1,5,0,3,0,5,0,4,5,2,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,400,12,0,1960,40,1,14,0, 7,5,12,1, 0,3,1,10,1,0, 0,0, 0,0,  0,0,0,0,996,0,0,96,   0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0,0, 0,0, 0,0,  0,0,0,996,0,0,65,0,12,0,401,1,5, 17,3,5,1,1,65,0,12,0,401,1,5, 17,5,0,0,0,5,0,0,0,5, 6, 6, 3,96, 3,1,5,0,0,0,1,1,1,50, 0, 0,1,60, 0,1, 1,60,5,0,103,0,5,1,0,3, 0,  8, 8, 0,  8, 8,1,1, 0,95,95,95,95,95,95,95,95,95, 20,1,3,1, 1, 8,0,0,5,1,1,9,3,0,1,0,7,7,3,0,1,5,1,4,3,1,1,3
   6,1,1,0,1,4,1,1,1,3,1,1,1,3,1,5,2,4,2,1,0,3,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400,11,0,1923,77,1,10,5, 0,2,12,1, 0,3,4,50,5,0, 0,0, 0,0,  0,0,0,0,996,0,0,98,1980,48,0,10,0, 60,1,5,5,996,5,5,0,0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0,0, 0,0, 0,0,  0,0,0,996,0,0, 0,0, 0,0,  0,0,0,996,0,0,0,0,48,0,10,0, 60,1,5,996,0,5,5,0,1,1,0,0,5, 0, 0, 4,96, 4,1,5,0,0,0,1,1,1,10, 0, 0,5,83, 0,1, 1,83,5,0,103,0,5,3,0,4, 0, 76,76, 0, 20,20,1,1, 0,95,95,95,95,95,95,95,95,95, 10,1,1,1, 6, 8,0,0,5,1,5,9,1,1,0,0,1,1,3,0,1,1,1,1,3,3,1,1
   7,1,1,0,1,5,8,0,8,0,8,0,8,0,1,3,3,4,2,1,0,1,1,1,1,0, 3," ",0,0,1,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,220,11,0,1957,43,1,14,0,96,4,14,0, 7,5,1,10,1,0, 0,0, 0,0,  0,0,0,0,996,0,0,96,   0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0,0, 0,0, 0,0,  0,0,0,996,0,0,15,0, 3,0,451,1,5, 42,3,3,5,5,15,0, 3,0,451,1,5, 42,3,0,0,0,5,0,0,0,5,12,12, 7,96, 7,5,0,5,0,0,1,1,1,50, 0, 0,1,29, 0,1, 1,29,5,0,159,0,7,0,1,6, 0, 20,20, 0, 20,20,1,1, 3, 3, 4,10,14,95,95,95,95,95, 55,0,0,0, 0, 0,0,0,1,1,5,9,3,0,1,0,7,7,3,0,2,5,1,2,2,3,5,3
   8,1,1,0,1,4,1,1,1,3,3,5,4,5,5,0,3,5,3,5,1,0,0,5,0,1, 2," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,110, 9,0,1953,47,6,17,0, 2,7,17,0, 2,7,1,10,1,0, 0,0, 0,0,  0,0,0,0,996,0,0,96,   0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0,0, 0,0, 0,0,  0,0,0,996,0,0,10,0, 2,0,842,1,5, 45,5,5,5,5,10,0, 2,0,842,1,5, 45,5,0,0,0,1,1,0,0,1,96, 7,96, 7, 7,1,1,0,1,5,0,0,4,50, 0, 0,1,60, 0,1, 1,60,5,0,113,0,5,7,0,7,18,  0, 1,18,  0, 1,1,5,95,95,95,95,95,95,95,95,95,95, 70,1,1,1, 5, 8,0,0,5,1,5,9,1,1,0,0,1,1,3,0,5,1,5,3,3,3,1,1
   9,1,1,0,1,4,1,1,1,3,1,5,2,3,1,3,1,4,2,1,0,4,0,1,7,0, 1," ",2,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,121, 6,0,1974,26,5,16,0, 1,6,99,0, 0,9,1,10,1,0, 0,0, 0,0,  0,0,0,0,996,0,0,96,   0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0,0, 0,0, 0,0,  0,0,0,996,0,0,18,0, 4,0,441,1,5, 42,1,5,5,1,18,0, 4,0,441,1,5, 42,5,0,0,0,1,1,0,0,5,11,11, 6,96, 6,1,5,0,0,0,1,1,1,10, 0, 0,1,88,14,2, 3,88,5,0,113,0,5,7,0,7, 0, 15,15, 0, 15,15,1,5,95,95,95,95,95,95,95,95,95,95, 10,1,1,1, 1, 8,0,0,1,5,1,9,5,0,0,1,3,3,5,0,4,4,2,2,3,1,1,1
  10,1,5,0,2,3,1,5,2,3,8,0,8,0,1,5,1,4,2,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,1,400,12,0,1952,48,5,12,1, 0,3,99,0, 0,9,1,10,1,0, 0,0, 0,0,  0,0,0,0,996,0,0,96,   0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0, 0,0, 0,0,  0,0,0,0,996,0,0,0,0,0, 0,0, 0,0,  0,0,0,996,0,0,24,0, 5,0,910,1,1, 40,5,5,5,5,24,0, 5,0,910,1,1, 40,5,0,0,0,5,0,0,0,1,96, 6,96, 6, 6,1,1,0,5,1,0,0,6,50, 0, 0,1,48, 0,1, 1,48,5,0,131,0,5,3,0,4, 0, 47,47, 0,  5, 5,5,5,95,95,95,95,95,95,95,95,95,95, 10,1,1,1, 2, 8,0,0,1,5,1,9,1,5,0,0,2,2,3,0,3,3,2,2,2,3,5,5
